Mz,RT,Mode,Adduct,Neutral_Mass,Library_Match,KEGG_ID,Compound_Name,Exact_Mass,PPM_Error,Formula,SMILES,PubChem_CID,ChEBI_ID,Consensus_Score,Consensus_Level,Pathways
601.2932,14.1579,POS,[M-H2O+H]+,582.275359,KEGG,C06512,,582.272987,-4.073674015864852,,,,,0.9855795590481089,Single,
604.3914,82.3874,POS,[M+NH4]+,586.357577,KEGG,C11969,,586.350569,-11.951751414038004,,,,,0.5328949151577198,Single,
605.4223,86.5314,POS,[M+Na]+,582.4330819999999,KEGG,C13493,,582.434298,2.087793495413309,,,,,1.1247323902752016,Single,
620.4038,64.0612,POS,[M+NH4]+,602.3699770000001,KEGG,C09929,,602.360739,-15.336089700393185,,,,,0.3298346179764089,Single,
621.3613,29.0794,POS,[M-H2O+H]+,602.343459,KEGG,C11956,,602.345483,3.360209145878866,,,,,1.028387451247268,Single,
621.4048,20.3666,POS,[M+K]+,582.441642,KEGG,C13493,,582.434298,-12.608988558529504,,,,,0.49346068648822977,Single,
629.2222,42.775,POS,[M+Na]+,606.232982,KEGG,C08750,,606.231241,-2.8718331924048703,,,,,1.0776900084557077,Single,
635.3925,19.3477,POS,[M-H2O+H]+,616.3746590000001,KEGG,C09085,,616.377727,4.9774921067687,,,,,0.931350473593878,Single,
635.4034,44.6581,POS,[M-H2O+H]+,616.3855590000001,KEGG,C09085,,616.377727,-12.706332725760062,,,,,0.4676200364543963,Single,
635.4254,26.9765,POS,[M-H2O+H]+,616.407559,KEGG,C05151,,616.397519,-16.287924853308947,,,,,0.25272450880146313,Single,
635.4254,41.3443,POS,[M-H2O+H]+,616.407559,KEGG,C05151,,616.397519,-16.287924853308947,,,,,0.25272450880146313,Single,
664.3861,52.5981,POS,[M+H]+,663.3788235331201,KEGG,C13900,,663.374749,-6.14209102795873,,,,,0.9314745383224762,Single,
664.3861,57.9961,POS,[M+H]+,663.3788235331201,KEGG,C13900,,663.374749,-6.14209102795873,,,,,0.9314745383224762,Single,
665.3994,61.9902,POS,[M+H]+,664.3921235331201,KEGG,C08968,,664.382263,-14.841435909365826,,,,,0.40951384543805047,Single,
665.3994,73.058,POS,[M+H]+,664.3921235331201,KEGG,C08968,,664.382263,-14.841435909365826,,,,,0.40951384543805047,Single,
665.4106,57.2225,POS,[M+NH4]+,647.3767770000001,KEGG,C13902,,647.379834,4.722134170560207,,,,,0.9666719497663875,Single,
681.4201,24.5036,POS,[M+Na]+,658.430882,KEGG,C08596,,658.42334,-11.45450525806896,,,,,0.5627296845158625,Single,
681.4201,39.7931,POS,[M+Na]+,658.430882,KEGG,C08596,,658.42334,-11.45450525806896,,,,,0.5627296845158625,Single,
681.4201,63.6571,POS,[M+Na]+,658.430882,KEGG,C08596,,658.42334,-11.45450525806896,,,,,0.5627296845158625,Single,
681.4201,73.1249,POS,[M+Na]+,658.430882,KEGG,C08596,,658.42334,-11.45450525806896,,,,,0.5627296845158625,Single,
681.4201,78.2408,POS,[M+Na]+,658.430882,KEGG,C08596,,658.42334,-11.45450525806896,,,,,0.5627296845158625,Single,
697.2164,19.001,POS,[M+H]+,696.2091235331201,KEGG,C12032,,696.208588,-0.769213016624558,,,,,1.2538472190025267,Single,
697.47,74.4097,POS,[M+Na]+,674.480782,KEGG,C13889,,674.488656,11.674165091356535,,,,,0.5495500945186079,Single,
699.5331,75.3146,NEG,[M+HCOO]-,654.534886,KEGG,C05811,"3-(all-trans-octaprenyl)benzene-1,2-diol",654.537581,4.1174275927242014,C46H70O2,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cccc(O)c1O,,CHEBI:1233,1.0029543444365479,Medium,
708.4094,28.4384,POS,[M+NH4]+,690.375577,KEGG,C09193,,690.378121,3.6849507495591496,,,,,1.028902955026451,Single,
708.421,55.2836,POS,[M+NH4]+,690.3871770000001,KEGG,C09193,,690.378121,-13.117277234858808,,,,,0.4629633659084715,Single,
708.4559,61.2098,POS,[M+Na]+,685.466682,KEGG,C00773,,685.462579,-5.98570303667425,,,,,0.890857817799545,Single,
708.4559,70.6327,POS,[M+Na]+,685.466682,KEGG,C00773,,685.462579,-5.98570303667425,,,,,0.890857817799545,Single,
717.5964,77.3666,POS,[M+H]+,716.5891235331201,ChEBI,,N-octadecanoyl-15-methylhexadecasphingosine-1-phosphocholine,716.58322,-8.238379464906059,C40H81N2O6P,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)/C=C/CCCCCCCCCC(C)C,,CHEBI:119713,0.7468891294301668,Single,
738.4717,73.7597,POS,[M-H2O+H]+,719.4538590000001,KEGG,C06616,,719.445591,-11.492050388798711,,,,,0.5404769766720773,Single,
740.502,64.9697,POS,[M+K]+,701.5388419999999,KEGG,C13878,,701.535941,-4.135195125734231,,,,,1.001888292455946,Single,
759.2611,89.7079,POS,[M+NH4]+,741.2272770000001,KEGG,C12645,,741.224204,-4.145826921701119,,,,,1.0012503846979328,Single,
763.6226,80.8932,POS,[M-H2O+H]+,744.6047590000001,KEGG,C13876,,744.590716,-18.859669952787836,,,,,0.09841980283272982,Single,
797.5081,69.7486,POS,[M+Na]+,774.518882,KEGG,C11313,,774.528199,12.029403306412886,,,,,0.5282358016152268,Single,
817.4958,25.8565,POS,[M-H2O+H]+,798.477959,KEGG,C08985,,798.476557,-1.755840576807041,,,,,1.1246495653915776,Single,
820.7198,80.7856,POS,[M+NH4]+,802.685977,ChEBI,,N-tetracosanoyl-14-methylhexadecasphinganine-1-phosphocholine,802.69278,8.475294442562298,C46H95N2O6P,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)CCCCCCCCCCC(C)CC,,CHEBI:125205,0.6838588056590738,Single,
820.7198,86.8662,POS,[M+NH4]+,802.685977,ChEBI,,N-tetracosanoyl-14-methylhexadecasphinganine-1-phosphocholine,802.69278,8.475294442562298,C46H95N2O6P,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)CCCCCCCCCCC(C)CC,,CHEBI:125205,0.6838588056590738,Single,
901.7552,80.7886,POS,[M+K]+,862.7920419999999,ChEBI,,"1-hexadecanoyl-2,3-dioctadecanoyl-sn-glycerol",862.79894,7.994974065942993,C55H106O6,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,,CHEBI:109896,0.7102764263731355,Single,
